,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
1,worry,geniuses,sea,research,trees,ocean,arctic,antarctica,species,heat,levels,daily,biodiversity,melting,oceans,temperatures,animals,degrees,winter,loss,agriculture,wildfires,wildlife,researchers,ecosystems,warmest,occur,fools,river,describe,floods,nasa,polar,recorded,deforestation,longterm,planting,backlash,hottest,permafrost,published,uubc,warm,warmer,antarctic,blog,habitat,tree,urban,coral
2,question,car,driven,taxing,volcano,corona,spewed,indonesia,merapi,survive,liberals,medicaid,demsworkusa,distancing,electionnov,winblue,conservatives,ufrt,yeswecan,changeuf,flipitblue,exhausted,ueclimate,wondering,npp,cst,recap,settled,steamdrills,extinct,apocalypse,vaccine,non,ugwar,scare,trial,warfare,misinformation,groundhog,ugwere,heroesuh,leakers,uamerica,udemocrats,unational,usoleimani,pundits,depthuh,grandparents,patrick
3,week,fridaysforfuture,strike,climatejustice,sign,climatestrikeonline,students,schoolstrikeclimate,law,online,indigenous,commitment,excited,anniversary,meeting,statement,celebrate,webinar,letter,urge,digitalstrike,oregon,police,orleg,joined,joining,european,orpol,hall,constantly,tune,rsvp,equity,voices,stayathome,environmentaljustice,striking,summit,inspiring,raised,petition,committee,flattenthecurve,minister,hosting,organizers,brown,session,refugee,thrilled
4,medicareforall,joe,sanders,accord,notmeus,supporters,deng,berniesanders,medicareall,worked,supertuesday,rejoining,cancelstudentdebt,dependence,gnd,bidens,xiaoping,buttigieg,voteforbernie,claimed,berniebeatstrump,sunrise,scorecard,rating,representing,earn,airlines,greenpeace,democraticdebate,xiapoing,balenciaga,pfw,jinping,revolutionary,bernieufs,bluenewdeal,ubb,endorses,nomination,mandates,daca,fdr,hostage,bernieorbust,dnc,dearbernie,promising,neverbiden,dignity,presidentberniesanders
5,banned,uncertain,month,case,schools,finds,italy,iraq,physical,closed,meetings,county,france,japan,canceled,gatherings,coachella,funerals,weddings,fate,riverside,coachellas,street,refusing,fed,wildfire,pattern,shooting,identified,lectured,proved,underway,intervention,jetsetting,multimillionaires,inject,targeting,contained,cyclone,alabama,lecturing,pioneering,contraction,sharper,murdoch,rein,ugrakinguh,unrecognized,zmillenials,accuse
6,generations,status,quo,epidemic,supreme,official,forgiveness,tired,rent,parenting,platitudes,cope,department,abolishing,friendship,niceness,ten,language,whove,harsher,womens,interior,misleading,obamaera,gutting,unbelievably,casting,suicide,student,flint,monopolization,advance,auahome,joeuabidenuh,tireduaof,youuaknow,inserted,offend,documents,roll,imagine,government,lifetimes,agencyufs,alarmist,rollback,entry,consequential,controversial,mileage
7,obama,iran,deficit,bills,gates,manage,preparedness,guns,abortion,functioning,exist,departments,drug,forefront,wasnt,moderators,microsoft,denies,fraud,corrupt,cruise,debates,flat,nonsense,proposals,bulk,judges,barack,philanthropic,presence,walls,cofounder,drove,deals,moore,kinda,strengthening,mansion,politically,proposing,authoritarian,votebluetosaveamerica,desk,inhofe,cyber,goods,ethos,gratitude,billgates,packing
8,bezos,billion,jeff,die,called,fund,amazon,ceo,commit,announced,words,happens,instagram,initiative,bank,organizations,setting,thereby,venture,profiting,founding,influencing,worth,ugbezos,ugfight,sectoruh,funduh,ugdonateuh,becoming,cult,doomsday,contributing,scheduled,soleimani,uwhich,emits,transitional,jane,uga,fonda,committing,ensuring,roe,wade,vintage,sentence,commits,replacing,chanel,nicky
9,work,stop,gonna,hands,flying,masks,wash,rearrange,hoard,radical,ones,aviation,form,denialism,mess,defeating,tireless,supportuand,inadequate,life,struggling,betrayal,contend,cowardly,provisions,dairy,burdens,swamp,way,outrageous,thisutogether,intrusive,plenty,treated,intake,recipes,minimum,melissa,reacted,clarkufs,diplomats,hydrofluorocarbons,savior,kill,antiintellectualismuwhere,conspiracya,phasing,workuh,sanitizer,millions
10,energy,call,oil,months,quickly,became,ran,implement,boomers,favorite,millennials,wind,renewables,darkselfiechallenge,scene,produce,light,usual,famine,pence,shed,lights,accountable,stronger,flash,smoking,requires,dark,netzero,selfie,nexo,electric,panels,myth,articles,identity,electricity,potatoes,indiana,unrelated,hiv,shred,stoking,unbelievable,crammed,uggreat,equalizeruh,commercial,hyundai,subsidies
11,private,jet,attack,speech,heart,mention,saw,polls,exit,rest,ugitufs,spending,complains,ugnot,moans,renovationsuh,jets,proposed,depression,package,none,teens,promises,thirties,twenties,acts,larry,empty,gotten,kudlow,gdp,sotu,copy,getitdone,hollywood,tore,theyufd,headspace,throw,movies,armed,violent,pool,guards,changeuflies,gunsuhas,violenceucreates,trumpbudget,preaches,farting
