"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1","climatechange","new","global","climatecrisis","will","coronavirus","worry","warming","geniuses","carbon","water","emissions","end","try","told","telling","remember","letufs","pollution","air","world","environment","news","due","climate","year","climateemergency","ice","even","can","effects","one","sustainability","food","climateaction","study","weather","sea","research","now","globalwarming","years","data","record","nature","trees","latest","ocean","already","arctic"
"2","climate","change","covid","science","itufs","just","can","now","world","real","every","see","still","crisis","take","thing","good","going","well","another","question","years","isnuft","history","natural","virus","point","single","china","long","something","poverty","yet","hope","say","trying","really","keep","answer","understand","experts","models","weufre","car","anything","might","morning","face","two","made"
"3","climate","today","earthday","action","day","climateaction","join","week","fridaysforfuture","communities","can","climatestrike","earth","now","support","iufm","great","environmental","fight","climatecrisis","school","crisis","climateemergency","state","read","check","community","live","first","strike","happy","make","love","taking","women","thank","local","climatejustice","learn","full","sign","change","share","video","act","free","take","see","climatestrikeonline","students"
"4","greennewdeal","bernie","biden","climate","vote","paris","new","plan","will","medicareforall","joe","sanders","green","deal","crisis","demdebate","one","agreement","candidate","change","democratic","want","support","jobs","policies","enough","time","win","world","senate","warren","accord","president","movement","notmeus","bloomberg","progress","push","fight","party","existential","voters","progressive","policy","act","ill","fighting","bold","years","fossil"
"5","public","americans","million","banned","change","uncertain","climate","address","people","coronavirus","month","case","schools","finds","italy","iraq","physical","closed","meetings","county","france","japan","canceled","gatherings","coachella","funerals","weddings","fate","riverside","coachellas","hoax","last","street","wall","night","refusing","hours","hear","dont","financial","profits","talk","medicare","income","inequality","three","low","fed","wildfire","markets"
"6","change","climate","need","future","trump","believe","planet","will","rights","build","gun","health","government","combat","debt","just","right","threat","people","house","can","student","national","white","things","together","care","donald","science","crisis","violence","imagine","protect","every","dont","young","president","new","doesnt","pandemic","end","control","action","letufs","campaign","voting","vote","years","works","generations"
"7","change","climate","will","trump","know","global","pandemic","think","health","much","economy","want","better","dont","economic","fight","look","nothing","never","working","everyone","many","actually","without","issues","pay","best","away","etc","tax","media","denial","says","lives","gop","obama","doesnuft","system","fear","war","justice","making","left","cost","deal","forward","education","going","matter","social"
"8","climate","change","bezos","billion","jeff","earth","going","die","heufs","called","fund","fight","trump","amazon","said","activists","fracking","world","post","ugthe","ceo","commit","will","back","start","using","scientists","announced","invest","impact","new","ago","years","words","mitigate","didnuft","transition","now","happens","dangerous","green","changeuh","instagram","weeks","initiative","working","bank","organizations","take","setting"
"9","people","work","change","get","scientists","way","will","stop","must","also","coronavirus","life","millions","use","can","power","climatecrisis","climate","gonna","home","kill","clean","hands","help","together","totally","flying","masks","wash","rearrange","hoard","itufs","tackle","enough","radical","canuft","right","everything","ones","politics","safety","wage","making","weufre","minimum","bigger","bad","trump","now","donald"
"10","climate","energy","change","hoax","time","coronavirus","help","next","call","oil","real","take","actonclimate","fossil","please","threat","republicans","calling","spent","show","months","solutions","big","scientists","fuel","remember","greennewdeal","clean","gas","planet","lets","quickly","dear","industry","solar","became","ran","economy","response","last","companies","global","warming","part","seriously","bill","renewable","implement","tell","fuels"
"11","climate","like","change","just","one","donuft","year","money","issue","care","make","president","time","america","give","says","people","can","now","right","thats","even","private","said","fight","changeuh","big","states","get","saying","need","done","put","always","cant","health","wait","ever","lost","top","united","maybe","nearly","healthcare","number","challenge","trillion","fire","jet","attack"
